date,open,high,low,close,volume
2020-01-02 00:00:00-05:00,150.4153225898607,152.2625919076215,149.9890318942147,152.15838623046875,22622100
2020-01-03 00:00:00-05:00,149.9795640082844,151.5236842826628,149.7332517957889,150.2637481689453,21116200
2020-01-06 00:00:00-05:00,148.80490629687822,150.7184951877552,148.26492739771743,150.6521759033203,20813700
2020-01-07 00:00:00-05:00,150.92692052732374,151.2584736153163,149.03228189326714,149.27857971191406,21634100
2020-01-08 00:00:00-05:00,150.55744770797486,152.32894460830389,149.62907885185848,151.65634155273438,27746500
2020-01-09 00:00:00-05:00,153.31411932222434,153.674105204978,152.5467931657798,153.5509490966797,21385000
2020-01-10 00:00:00-05:00,154.24251212062987,154.6214340015497,152.68889482600636,152.84046936035156,20725900
2020-01-13 00:00:00-05:00,153.2383090551339,154.70665632731206,152.76464957733063,154.67823791503906,21626500
2020-01-14 00:00:00-05:00,154.7824841808954,154.98142757393325,153.20046284462947,153.5888671875,23477400
2020-01-15 00:00:00-05:00,154.05306063131832,155.30352905130025,154.00570623006226,154.58355712890625,21417900
2020-01-16 00:00:00-05:00,155.69193253538216,157.48236543186604,155.38878342140092,157.41604614257812,23865400
2020-01-17 00:00:00-05:00,158.60013160767733,158.6475004445923,156.71496175600086,158.2969970703125,34371700
2020-01-21 00:00:00-05:00,157.89913292781256,159.32959395002115,157.66230316439436,157.72862243652344,29517200
2020-01-22 00:00:00-05:00,158.58124990495958,158.66651963033502,156.95185950255714,156.97080993652344,24138800
2020-01-23 00:00:00-05:00,157.43494905712768,158.0128142331594,156.56341729990527,157.93702697753906,19680800
2020-01-24 00:00:00-05:00,158.68539908526893,158.70434951248504,155.78660528365143,156.34552001953125,24918100
2020-01-27 00:00:00-05:00,152.66049687326566,154.77302928468092,151.76054644422686,153.73097229003906,32078100
2020-01-28 00:00:00-05:00,155.1519500770846,157.02763819872118,154.47936148498258,156.7434539794922,24899900
2020-01-29 00:00:00-05:00,158.99802382465174,159.86008761817865,156.96129367549298,159.18748474121094,34754500
2020-01-30 00:00:00-05:00,164.88087936173753,164.88087936173753,161.7926100859004,163.6777801513672,51597500
2020-01-31 00:00:00-05:00,163.13786388648447,163.31784241229383,160.64640948856473,161.2621612548828,36142700
2020-02-03 00:00:00-05:00,161.45161971954732,165.3072161697308,161.4232012972318,165.19354248046875,30107000
2020-02-04 00:00:00-05:00,167.80814179887963,171.12375938000062,167.02186503790605,170.6311492919922,36433300
2020-02-05 00:00:00-05:00,174.33516267075652,174.4962052107413,169.01123304263785,170.4227294921875,39186300
2020-02-06 00:00:00-05:00,171.4363801668238,174.1362460371025,170.57431610803914,173.9562530517578,27751400
2020-02-07 00:00:00-05:00,173.21727876610288,175.85082433596347,172.86676091922024,174.20248413085938,33529100
2020-02-10 00:00:00-05:00,173.90882553422875,178.89171832144078,173.5962085264368,178.75909423828125,35844300
