date,open,high,low,close,volume
2020-01-02 00:00:00-05:00,66.86782800712254,67.87301635742188,66.77261429289413,67.87301635742188,27278000
2020-01-03 00:00:00-05:00,66.84751358265558,68.12445823826381,66.81378810886194,67.5179672241211,23408000
2020-01-06 00:00:00-05:00,67.02751808217074,69.34288486446046,66.9962821053439,69.31759643554688,46768000
2020-01-07 00:00:00-05:00,69.44900196622598,69.59975639798446,69.00765007438353,69.1836929321289,34330000
2020-01-08 00:00:00-05:00,69.16931180182212,70.01383328257931,69.06071230813146,69.6761245727539,35314000
2020-01-09 00:00:00-05:00,70.51370271406968,70.84843766453115,69.93250773983897,70.40758514404297,33200000
2020-01-10 00:00:00-05:00,70.88761594044897,71.15887253591534,70.39816153236073,70.86231994628906,26258000
2020-01-13 00:00:00-05:00,71.17425376918445,71.4832009224904,70.68430742640342,71.41130065917969,30730000
2020-01-14 00:00:00-05:00,71.40980138157744,71.54022369151787,70.80331039967703,70.94316101074219,26076000
2020-01-15 00:00:00-05:00,71.06365964443332,71.44847959482189,70.99621627063644,71.37012481689453,21550000
2020-01-16 00:00:00-05:00,71.6800692002155,71.94042198348346,71.40980383677255,71.91364288330078,26080000
2020-01-17 00:00:00-05:00,72.52755127820197,73.42066702183358,72.23050686888229,73.36959075927734,52424000
2020-01-21 00:00:00-05:00,73.34380799940449,73.88335497384024,72.90791179429193,73.5049819946289,48930000
2020-01-22 00:00:00-05:00,73.8759245867756,74.41397338110437,73.52532192544703,73.58531951904297,28458000
2020-01-23 00:00:00-05:00,73.76780967939291,74.06287159574599,73.4092694223647,73.6259765625,26650000
2020-01-24 00:00:00-05:00,74.02914675123824,74.097581382054,72.559292859008,72.70757293701172,29786000
2020-01-27 00:00:00-05:00,70.99027408970458,71.2402073113937,70.3932038265922,70.99969482421875,34132000
2020-01-28 00:00:00-05:00,71.49608309873746,72.14373017574707,70.93174708981847,71.93049621582031,29724000
2020-01-29 00:00:00-05:00,72.32522928653594,72.60690544755049,71.67709035915647,72.23795318603516,21566000
2020-01-30 00:00:00-05:00,71.31557167668379,72.16604067283447,71.16184346943253,72.116455078125,27110000
2020-01-31 00:00:00-05:00,72.79137767304688,72.88113570169328,70.76809913606537,71.0517578125,43822000
2020-02-03 00:00:00-05:00,72.4834173068673,73.70581988228172,72.23348411673724,73.52233123779297,71636000
2020-02-04 00:00:00-05:00,72.12836616478646,72.76559372087249,70.51866911081403,71.67808532714844,95880000
2020-02-05 00:00:00-05:00,72.58061715621994,72.62871964997271,70.89802869966074,71.7098159790039,36376000
2020-02-06 00:00:00-05:00,72.00389677738615,73.47077712052415,71.92951458765228,73.19356536865234,37822000
2020-02-07 00:00:00-05:00,72.7680635245262,73.65374104853788,72.66987603102721,73.34925842285156,28360000
2020-02-10 00:00:00-05:00,73.25604592514885,74.82557052333453,73.15537648833067,74.81465911865234,38302000
2020-02-11 00:00:00-05:00,75.04325524636788,75.86695264677628,74.6554615733179,74.88407135009766,34852000
2020-02-12 00:00:00-05:00,75.17171334002595,75.39189369571822,74.81516311800998,75.30908203125,31042000
2020-02-13 00:00:00-05:00,74.88111203769492,75.67207538277923,74.58356816841906,75.04922485351562,22914000
2020-02-14 00:00:00-05:00,75.1057482210196,75.37948673334321,74.66042372612603,75.31402587890625,23198000
2020-02-18 00:00:00-05:00,75.09633617170891,75.90068528400265,74.93119712969819,75.3492431640625,25642000
2020-02-19 00:00:00-05:00,75.73405324495363,75.90960425641619,75.42560557770153,75.6185073852539,22746000
2020-02-20 00:00:00-05:00,75.32791507548832,75.72761146175247,74.59645752229817,75.22774505615234,25962000
2020-02-21 00:00:00-05:00,74.6123229813126,74.92821644497522,73.31851954400152,73.56497955322266,42520000
2020-02-24 00:00:00-05:00,70.56923390234532,71.23027423793134,69.76290240966694,70.41104125976562,49560000
2020-02-25 00:00:00-05:00,70.96348339912412,71.25358143993788,68.45521513612178,68.74779510498047,51580000
2020-02-26 00:00:00-05:00,69.17724388929183,70.10408510430565,68.26329659306435,68.9535903930664,49776000
2020-02-27 00:00:00-05:00,67.39994084412521,67.90873614395468,65.17334092529835,65.20854949951172,62290000
2020-02-28 00:00:00-05:00,63.193219011315065,66.57228926922296,62.890718817164235,66.41360473632812,80198000
2020-03-02 00:00:00-05:00,67.0156136346648,68.80481891518373,65.7168464160506,68.74779510498047,55430000
2020-03-03 00:00:00-05:00,69.31114065170213,69.83233041381229,65.91718724409012,66.33771514892578,56602000
2020-03-04 00:00:00-05:00,67.3910084911232,68.57224739337018,66.30200954107818,68.51373291015625,47598000
2020-03-05 00:00:00-05:00,66.72600490557134,67.1267001116849,64.54850635828724,65.19912719726562,54380000
2020-03-06 00:00:00-05:00,62.9769971984103,64.6035493381855,62.34521781036266,64.25592803955078,64640000
2020-03-09 00:00:00-04:00,59.75413363170908,62.12305473019572,59.410969211683664,60.291194915771484,69252000
2020-03-10 00:00:00-04:00,62.20537437076088,63.26957678968302,60.22771640855486,63.23585510253906,54872000
2020-03-11 00:00:00-04:00,61.901881557171805,62.331330808488026,59.06879454018304,60.0486946105957,54732000
2020-03-12 00:00:00-04:00,55.67088167650658,58.95027701384307,54.96918076424431,55.121917724609375,94326000
2020-03-13 00:00:00-04:00,58.2679152243598,60.22226345773861,55.158611522233514,60.215816497802734,79400000
2020-03-16 00:00:00-04:00,54.03390642715951,56.80401064985068,52.91664149959942,53.2102165222168,96520000
2020-03-17 00:00:00-04:00,54.08498798539528,55.83849297321683,52.02501404698684,55.44474792480469,83194000
2020-03-18 00:00:00-04:00,52.56257466439651,54.79660911099285,51.42497370415476,54.112266540527344,93044000
2020-03-19 00:00:00-04:00,53.96497931020589,57.15808978102262,52.34487034827302,55.12786865234375,74064000
2020-03-20 00:00:00-04:00,56.08148743290861,56.45738229776542,52.669687167629704,52.97268295288086,82878000
2020-03-23 00:00:00-04:00,52.385533632275504,52.90821410094761,50.030002120502026,52.274452209472656,83672000
2020-03-24 00:00:00-04:00,54.74651629889914,56.2019854909034,53.87620704386367,56.03734588623047,72468000
2020-03-25 00:00:00-04:00,55.76807440928379,56.838723734721434,53.70661363639943,54.629486083984375,90324000
2020-03-26 00:00:00-04:00,55.27912035694048,58.09385791556648,54.15392148412994,57.66936492919922,76562000
2020-03-27 00:00:00-04:00,55.91139183073007,57.08072809299469,54.747511270415124,55.057945251464844,62794000
2020-03-30 00:00:00-04:00,56.16777698755777,57.07825124528936,54.47427322697181,56.845672607421875,58736000
2020-03-31 00:00:00-04:00,56.96568065824295,58.1890670209297,56.37010109392205,57.62126159667969,65228000
2020-04-01 00:00:00-04:00,55.73931890160938,56.008097373392076,54.22632246793909,54.65329360961914,51970000
2020-04-02 00:00:00-04:00,54.549151445625526,55.6783190924219,54.208468955289,55.393672943115234,56410000
2020-04-03 00:00:00-04:00,55.27862233919662,55.48094867701905,53.31336646721793,54.18714141845703,51374000
2020-04-06 00:00:00-04:00,56.18563269892655,59.049460387953076,55.788910047440375,58.674560546875,63320000
2020-04-07 00:00:00-04:00,60.35169060850497,60.5386486628773,58.37998779819019,58.643310546875,61620000
2020-04-08 00:00:00-04:00,59.661892044147216,60.247055806495155,58.71224047565648,59.85529327392578,40334000
2020-04-09 00:00:00-04:00,60.40971213758575,60.59864892090374,59.132268239290795,59.83396911621094,54028000
2020-04-13 00:00:00-04:00,59.58255503814354,60.228219641111785,58.63191212805063,60.0244026184082,38702000
